1701353824755,U03,2,14384,pointerup,html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#maps > ul.category > li[data-mapset='zalidneni'] > h3 > ,167.0,752.0,167.0,665.0;;;
1701353825312,U03,2,14941,url_change,https://atlas.mapy.cz/?p=011000&id=zalidneni&n=m&z=2.7&x=0.000&y=0.000&tl=7&m=m,,,,;;;
1701353826990,U03,2,16619,pointerdown,html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#menu.no-mobile > div.bookmark.mapset-active > button.mapsets[title='Vybrat mapu'] > ,1576.0,132.0,1576.0,45.0;;;
1701353827082,U03,2,16711,pointerup,html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#menu.no-mobile > div.bookmark.mapset-active > button.mapsets[title='Vybrat mapu'] > ,1579.0,132.0,1579.0,45.0;;;
"1701353829864,U03,2,19493,pointerdown,""html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#maps > ul.category > li[data-mapset='zalidneni-oblasti'] > div.illustration[style='background-image: linear-gradient(rgba(0, 0, 0, 0), rgba(0, 0, 0, 0), rgb(0, 0, 0)), url('src/img/maps/A6_Zalidneni.jpg')";"'] > "",50.0,693.0,50.0,606.0";;
"1701353829982,U03,2,19611,pointerup,""html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#maps > ul.category > li[data-mapset='zalidneni-oblasti'] > div.illustration[style='background-image: linear-gradient(rgba(0, 0, 0, 0), rgba(0, 0, 0, 0), rgb(0, 0, 0)), url('src/img/maps/A6_Zalidneni.jpg')";"'] > "",50.0,693.0,50.0,606.0";;
1701353831152,U03,2,20781,url_change,https://atlas.mapy.cz/?p=011001&id=zalidneni-oblasti&n=m&z=2.7&x=0.000&y=0.000&m=m,,,,;;;
1701353837009,U03,2,26638,pointerdown,html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#menu.no-mobile > div.bookmark.mapset-active > button.mapsets[title='Vybrat mapu'] > svg.Ico.Ico--vrstvy[width='24'][height='24'][viewBox='0 0 24 24'] > path[d='M1.2 5.4H16.8L24 12.6H8.4L1.2 5.4zm-1.2 6h4.8l2.4 2.4H18l4.8 4.8H7.2L0 11.4z'][fill-rule='evenodd'] > ,1600.0,124.0,1600.0,37.0;;;
1701353837140,U03,2,26769,pointerup,html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#menu.no-mobile > div.bookmark.mapset-active > button.mapsets[title='Vybrat mapu'] > svg.Ico.Ico--vrstvy[width='24'][height='24'][viewBox='0 0 24 24'] > path[d='M1.2 5.4H16.8L24 12.6H8.4L1.2 5.4zm-1.2 6h4.8l2.4 2.4H18l4.8 4.8H7.2L0 11.4z'][fill-rule='evenodd'] > ,1600.0,124.0,1600.0,37.0;;;
"1701353842390,U03,2,32019,pointerdown,""html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#maps > ul.category > li[data-mapset='zalidneni'] > div.illustration[style='background-image: linear-gradient(rgba(0, 0, 0, 0), rgba(0, 0, 0, 0), rgb(0, 0, 0)), url('src/img/maps/A6_Zalidneni.jpg')";"'] > "",203.0,925.0,203.0,838.0";;
"1701353842513,U03,2,32142,pointerup,""html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#maps > ul.category > li[data-mapset='zalidneni'] > div.illustration[style='background-image: linear-gradient(rgba(0, 0, 0, 0), rgba(0, 0, 0, 0), rgb(0, 0, 0)), url('src/img/maps/A6_Zalidneni.jpg')";"'] > "",203.0,925.0,203.0,838.0";;
1701353842913,U03,2,32542,url_change,https://atlas.mapy.cz/?p=011000&id=zalidneni&n=m&z=2.7&x=0.000&y=0.000&tl=7&m=m,,,,;;;
1701353849355,U03,2,38984,mouse_wheel_start,100,,,,;;;
1701353849355,U03,2,38984,mouse_wheel_end,100,,,,;;;
1701353849673,U03,2,39302,url_change,https://atlas.mapy.cz/?p=011000&id=zalidneni&n=m&z=2.5&x=10.227&y=-2.880&tl=7&m=m,,,,;;;
1701353850776,U03,2,40405,mouse_wheel_start,-100,,,,;;;
1701353850864,U03,2,40493,mouse_wheel_end,-100,,,,;;;
1701353851195,U03,2,40824,url_change,https://atlas.mapy.cz/?p=011000&id=zalidneni&n=m&z=2.9&x=-27.646&y=1.792&tl=7&m=m,,,,;;;
1701353936099,U03,3,1,url_change,https://atlas.mapy.cz/?p=000101&id=povrch-zeme&n=m&z=2.7&x=0.000&y=0.000&m=m,,,,;;;
1701353936098,U03,3,0,projection,robinson,,,,;;;
1701353937768,U03,3,1670,pointerdown,html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#menu.no-mobile > div.bookmark.mapset-active > button.mapsets[title='Vybrat mapu'] > ,1604.0,114.0,1604.0,27.0;;;
1701353937915,U03,3,1817,pointerup,html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#menu.no-mobile > div.bookmark.mapset-active > button.mapsets[title='Vybrat mapu'] > ,1604.0,114.0,1604.0,27.0;;;
1701353954476,U03,3,18378,pointerdown,html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#maps > ul.category > li.active[data-mapset='povrch-zeme'] > ,72.0,389.0,72.0,302.0;;;
1701353954621,U03,3,18523,pointerup,html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#maps > ul.category > li.active[data-mapset='povrch-zeme'] > ,72.0,389.0,72.0,302.0;;;
1701353958011,U03,3,21913,mouse_wheel_start,-100,,,,;;;
1701353958011,U03,3,21913,mouse_wheel_end,-100,,,,;;;
1701353958330,U03,3,22232,url_change,https://atlas.mapy.cz/?p=000101&id=povrch-zeme&n=m&z=2.9&x=1.086&y=6.815&m=m,,,,;;;
1701353958350,U03,3,22252,mouse_wheel_start,-100,,,,;;;
1701353958512,U03,3,22414,mouse_wheel_end,-100,,,,;;;
1701353958830,U03,3,22732,url_change,https://atlas.mapy.cz/?p=000101&id=povrch-zeme&n=m&z=3.5&x=4.015&y=20.844&m=m,,,,;;;
1701353959067,U03,3,22969,mouse_wheel_start,-100,,,,;;;
1701353959103,U03,3,23005,mouse_wheel_end,-100,,,,;;;
1701353959420,U03,3,23322,url_change,https://atlas.mapy.cz/?p=000101&id=povrch-zeme&n=m&z=3.9&x=6.063&y=25.053&m=m,,,,;;;
